;room temperature inside;air humidity;CO2 amount;radiation outside;plant temperature big (gutter 3 +gutter 5);plant temperature small (gutter 4 +gutter 6)
;gem kastemp;gem RV;gem CO2/conc;straling;gem plant 2;gem plant 3
;DEMO1:Afd 180;DEMO1:Afd 180;DEMO1:CO2/DOSERING 180;DEMO1:METEO STRAL. OPN.;DEMO1:AFD 180 MEETBOX 2;DEMO1:AFD 180 MEETBOX 3
;Â°C;%;ppm;W/mÂ²;Â°C;Â°C
1-1-2019 00:00;17;79;446,67;0;;23,2
2-1-2019 00:00;16;69,17;406,5;0;;23,2
3-1-2019 00:00;15,98;69;459,33;0;;23,2
4-1-2019 00:00;15,92;69;499;0;;15,4
5-1-2019 00:00;15,9;67;419,5;0;;16,68
6-1-2019 00:00;16;64;433,33;0;;17,02
7-1-2019 00:00;14,62;74,17;622,17;0;;15,2
8-1-2019 00:00;14,5;73,16;420;0;;15,27
9-1-2019 00:00;14,8;59,83;399;0;;15,4
10-1-2019 00:00;14,9;67;429;0;;14,3
11-1-2019 00:00;14,5;80;533;0;;14,4
12-1-2019 00:00;13,98;76;425,17;0;;14,38
13-1-2019 00:00;13,92;76;420;0;;13,82
14-1-2019 00:00;14,02;71;407;0;;13,9
15-1-2019 00:00;14,11;77,86;471,87;0;;13,79
16-1-2019 00:00;13,8;77;428,69;0;;13,68
17-1-2019 00:00;13,8;72,17;438,31;0;;13,38
18-1-2019 00:00;14,02;73,83;426,5;0;;13,1
19-1-2019 00:00;13,92;78,83;521;0;;13,18
20-1-2019 00:00;13,9;75;502,33;0;;13,48
21-1-2019 00:00;13,7;75;585,83;0;;13,18
22-1-2019 00:00;13,79;73;519,1;0;;12,8
23-1-2019 00:00;13,79;74,14;474,42;0;;12,9
24-1-2019 00:00;13,88;74;470;0;;14,32
25-1-2019 00:00;13,9;76;571,08;0;;12,9
26-1-2019 00:00;14,4;84;464,87;0;;13,5
27-1-2019 00:00;14,51;79,85;442,56;0;;16,09
28-1-2019 00:00;13,89;73,15;421;1;;13,6
29-1-2019 00:00;14,1;77,99;465,07;0;;14,7
30-1-2019 00:00;14,2;75,98;476,02;0;;14,2
31-1-2019 00:00;14,39;77;542,97;0;;13,6
1-2-2019 00:00;14,11;74;449,24;0;;12,8
2-2-2019 00:00;14,81;82,86;531;0;;13,8
3-2-2019 00:00;14,79;81,08;510,08;0;;13,6
4-2-2019 00:00;14,29;78,07;519,93;0;;12,99
5-2-2019 00:00;14,4;80;457,29;0;;15,89
6-2-2019 00:00;14,39;81;473,44;0;;14
7-2-2019 00:00;14,71;86,85;501;0;;14,39
8-2-2019 00:00;14,39;81;430,71;0;;13,7
9-2-2019 00:00;15,2;84,92;424,08;0;;14,61
10-2-2019 00:00;15,6;65,93;420;0;;15,01
11-2-2019 00:00;14,11;74;425;0,07;;13,29
