date;Plant number;Truss number;Brix (Number);Diameter of fruits (mm);Weight per fruit (gr); Number of fruits (Number);Fresh weight (gr)
20/03/2019;400;2;7,1;36;;14;288
20/03/2019;401;1;;;;12;238
20/03/2019;401;2;;;;14;242
20/03/2019;402;1;8,6;34;;13;227
20/03/2019;402;2;;;;14;242
20/03/2019;403;1;;;;12;220
20/03/2019;403;2;;;;14;240
20/03/2019;404;1;9,1;35;;13;232
20/03/2019;404;2;;;;14;255
20/03/2019;405;1;;;;13;247
20/03/2019;405;2;;;;14;268
20/03/2019;406;1;;;;13;238
20/03/2019;406;2;;;;6;118
20/03/2019;407;1;8,8;33;;12;179
20/03/2019;407;2;;;;14;207
20/03/2019;408;1;;;;6;112
20/03/2019;408;2;;;;8;153
20/03/2019;409;1;8,8;34;;12;225
20/03/2019;409;2;;;;14;240
20/03/2019;410;1;;;;14;342
20/03/2019;410;2;;;;13;263
20/03/2019;411;1;;;;14;254
20/03/2019;411;2;;;;14;224
20/03/2019;600;1;8,1;51;;9;467
20/03/2019;600;2;;;;7;338
20/03/2019;601;1;;;;4;219
20/03/2019;601;2;;;;7;358
20/03/2019;602;1;8,5;60;;8;407
20/03/2019;602;2;;;;8;323
20/03/2019;603;1;;;;8;403
20/03/2019;603;2;;;;5;188
20/03/2019;604;1;;;;8;395
20/03/2019;605;1;;;;8;369
20/03/2019;606;1;8,3;53;;8;462
20/03/2019;606;2;;;;8;378
20/03/2019;607;1;;;;8;423
20/03/2019;607;2;;;;9;403
20/03/2019;608;1;;;;2;161
20/03/2019;608;2;;;;7;335
20/03/2019;609;1;7,5;61;;8;473
20/03/2019;609;2;;;;7;412
20/03/2019;610;1;;;;8;463
20/03/2019;610;2;;;;8;447
20/03/2019;611;1;8,3;52;;8;387
27/03/2019;300;2;;;;8;357
27/03/2019;304;1;3,9;75;;5;781
27/03/2019;306;1;3,3;64;;6;1008
27/03/2019;307;1;3,4;75;;6;715
27/03/2019;308;1;3,4;72;;6;908
27/03/2019;311;1;3,5;75;;6;945
27/03/2019;400;3;6,8;32;;14;267
27/03/2019;401;3;;;;14;266
27/03/2019;402;3;6,8;34;;12;204
27/03/2019;403;3;;;;14;257
27/03/2019;404;3;;;;14;234
27/03/2019;405;3;6,9;34;;14;285
27/03/2019;406;3;;;;10;212
27/03/2019;407;3;6,6;32;;13;248
27/03/2019;408;3;;;;12;259
27/03/2019;409;3;;;;14;240
27/03/2019;410;3;6,9;34;;12;250
27/03/2019;411;3;6,9;34;;13;220
27/03/2019;500;1;4,2;62;;6;654
27/03/2019;506;1;4,3;60;;6;692
27/03/2019;600;3;6,2;46;;8;366
27/03/2019;602;3;5,8;45;;8;293
27/03/2019;603;3;;;;6;308
27/03/2019;604;2;;;;7;302
27/03/2019;604;3;;;;8;332
27/03/2019;605;2;5,8;48;;8;386
27/03/2019;606;3;;;;8;329
27/03/2019;607;3;;;;8;289
27/03/2019;608;3;;;;7;320
27/03/2019;609;3;5,5;50;;7;353
27/03/2019;610;3;;;;8;415
27/03/2019;611;3;6,1;45;;8;308
03/04/2019;300;1;4,8;69;;6;853
03/04/2019;301;1;;;;6;809
03/04/2019;302;1;3,7;70;;6;745
03/04/2019;303;1;;;;6;906
03/04/2019;305;1;4,1;93;;6;1234
03/04/2019;306;1;;;;4;801
03/04/2019;307;1;4;62;;6;658
03/04/2019;309;1;;;;6;742
03/04/2019;310;1;3,7;75;;6;918
03/04/2019;400;4;7,7;36;;14;270
03/04/2019;400;5;;;;12;224
03/04/2019;401;4;6,9;33;;14;253
03/04/2019;402;4;;;;14;229
03/04/2019;402;5;;;;9;177
03/04/2019;403;4;7,8;30;;12;248
03/04/2019;403;5;;;;11;225
03/04/2019;404;4;;;;14;243
03/04/2019;404;5;;;;10;237
03/04/2019;405;3;;;;14;294
03/04/2019;406;4;6,8;32,8;;14;259
03/04/2019;407;4;;;;13;258
03/04/2019;408;4;;;;13;236
03/04/2019;409;4;;;;14;230
03/04/2019;409;5;;;;12;225
03/04/2019;410;4;7,6;33,6;;12;256
03/04/2019;411;4;;;;14;241
03/04/2019;411;5;;;;13;225
03/04/2019;501;1;4,7;60;;6;711
03/04/2019;502;1;;;;5;683
03/04/2019;503;1;;;;6;735
03/04/2019;504;1;;;;6;616
03/04/2019;505;1;;;;6;687
03/04/2019;506;2;5,6;58;;6;586
03/04/2019;507;1;;;;6;706
03/04/2019;508;1;4,7;61;;6;747
03/04/2019;509;1;4,6;56;;6;639
03/04/2019;510;1;;;;6;719
03/04/2019;511;1;4,7;57;;7;727
03/04/2019;511;2;;;;5;546
03/04/2019;600;4;6;49;;8;374
03/04/2019;601;3;;;;10;404
03/04/2019;601;4;;;;7;321
03/04/2019;602;4;6,9;45;;8;349
03/04/2019;603;4;;;;7;369
03/04/2019;604;4;;;;8;341
03/04/2019;605;3;;;;8;319
03/04/2019;605;4;;;;7;365
03/04/2019;606;4;6,7;44;;6;248
03/04/2019;607;4;;;;8;354
03/04/2019;608;4;5,9;48;;7;345
03/04/2019;609;4;;;;8;350
03/04/2019;610;4;6,2;50;;8;407
03/04/2019;611;4;;;;6;253
10/04/2019;300;2;3,7;63;;6;659
10/04/2019;301;2;;;;6;749
10/04/2019;302;2;;;;6;738
10/04/2019;303;2;;;;6;917
10/04/2019;304;2;4;67;;6;882
10/04/2019;305;2;;;;6;832
10/04/2019;306;2;4,1;59;;6;683
10/04/2019;307;2;3,6;53;;5;514
