date;Average.EC;Average.Flow;Average.pH;Sum.LitersPerM2;Sum.Deviation;Sum.TotalLiters;Sum.Usage;drain percentage;EC;pH;drain water amount;absorb water amount
31-12-2018;3,1;0,4;5,6;0,117;5;104,2;20;;;;;
1-1-2019;3,1;0,45;5,6;0,236;11;208,3;40;0;7,6;6,9;0;0,236
2-1-2019;3,4;0,4;5,5;0,576;6;510,4;98;0;7,6;6,9;0;0,576
3-1-2019;3,5;0,41;5,6;0,588;8;520,9;100;0;7,6;6,9;0;0,588
4-1-2019;3,4;0,41;5,7;1,536;8;1359,3;261;0;7,6;6,9;0;1,536
5-1-2019;3,4;0,41;5,8;1,194;8;1057,3;203;0,04;3,9;6,9;0,04776;1,14624
6-1-2019;3,3;0,41;5,9;1,023;8;906,3;174;0,14;4,1;7,2;0,14322;0,87978
7-1-2019;3,4;0,33;5,8;0,541;-32;328,1;92;0,17;4;7,1;0,09197;0,44903
8-1-2019;3,5;0,84;5,5;7,983;9;3533,9;1357;0,04;4,4;7,5;0,31932;7,66368
9-1-2019;3,5;0,83;5,4;1,223;8;541,6;208;0,61;3,5;6,8;0,74603;0,47697
10-1-2019;3,5;0,8;5,4;1,053;8;466,2;179;0,68;4;6,9;0,71604;0,33696
11-1-2019;3,5;0,83;5,7;1,053;8;466,1;179;0,78;3,9;6,7;0,82134;0,23166
12-1-2019;3,5;0,8;5,7;1,059;8;468,8;180;1,24;3,8;6,9;1,31316;-0,25416
13-1-2019;3,5;0,8;5,7;1,059;7;468,7;180;0,87;4,2;6,9;0,92133;0,13767
14-1-2019;3,5;0,8;5,8;1,229;8;544,2;209;0,79;3,9;7;0,97091;0,25809
15-1-2019;3,5;0,79;5,8;1,047;9;463,6;178;0,56;3,9;7,1;0,58632;0,46068
16-1-2019;3,5;0,77;5,8;1,047;9;463,5;178;0,74;3,8;7,1;0,77478;0,27222
17-1-2019;3,5;0,78;5,8;1,047;10;463,6;178;0,62;3,8;7,2;0,64914;0,39786
18-1-2019;3,6;0,77;5,7;0,341;10;151;58;0,56;4,1;7,3;0,19096;0,15004
19-1-2019;3,4;0,77;5,7;0,347;11;153,7;59;0;4,1;7,3;0;0,347
20-1-2019;3,5;0,8;5,7;0,523;10;231,7;89;0;4,1;7,3;0;0,523
21-1-2019;3,5;0,86;5,7;0,518;10;229,2;88;0;4,1;7,3;0;0,518
22-1-2019;3,5;0,85;5,7;0,347;8;153,6;59;0;4,1;7,3;0;0,347
23-1-2019;3,5;0,87;5,7;0,347;11;153,7;59;0;4,1;7,3;0;0,347
24-1-2019;3,5;0,87;5,7;0,347;11;153,6;59;0;4,1;7,3;0;0,347
25-1-2019;3,7;0,69;5,7;0,6;-6;265,7;102;0;4,1;7,3;0;0,6
26-1-2019;3,4;0,42;5,7;0,341;-44;151;58;0;4,1;7,3;0;0,341
27-1-2019;3,3;0,46;5,6;0,177;10;156,3;30;0;4,1;7,3;0;0,177
28-1-2019;3,4;0,46;5,6;0,176;11;156,3;30;0;4,1;7,3;0;0,176
29-1-2019;3,5;0,46;5,6;0,177;11;156,2;30;0;4,1;7,3;0;0,177
30-1-2019;3,6;0,15;5,6;0,176;-56;156,3;30;0;4,1;7,3;0;0,176
31-1-2019;3,5;0,42;5,8;0,689;8;609,3;117;0;4,1;7,3;0;0,689
1-2-2019;3,5;0,42;5,9;0,8;9;604,2;116;0;4,1;7,3;0;0,8
2-2-2019;3,5;0,41;5,8;1,024;9;453,1;87;0;4,1;7,3;0;1,024
3-2-2019;3,5;0,4;5,8;1,388;10;614,6;118;0;4,1;7,3;0;1,388
4-2-2019;3,5;0,4;5,7;1,412;10;625;120;0;4,1;7,3;0;1,412
5-2-2019;3,5;0,4;5,7;1,188;11;526;101;0;4,1;7,3;0;1,188
6-2-2019;3,5;0,42;5,6;1,177;11;520,9;100;0,0176;5,6;8,1;0,0207152;1,1562848
7-2-2019;3,5;0,43;5,6;1,305;11;578,1;111;0,0183;5,2;8,2;0,0238815;1,2811185
8-2-2019;3,5;0,43;5,5;1,295;11;572,9;110;0,0152;5,9;8,3;0,019684;1,275316
9-2-2019;3,5;0,44;5,5;1,47;11;651,1;125;0,0448;6;7,8;0,065856;1,404144
10-2-2019;3,4;0,43;5,5;1,33;10;588,5;113;0,028;6;8,1;0,03724;1,29276
11-2-2019;3,5;0,44;5,4;1,458;11;645,8;124;0,0308;5,9;8;0,0449064;1,4130936
12-2-2019;3,5;0,44;5,5;1,789;10;791,7;152;0,014;6,4;8,1;0,025046;1,763954
13-2-2019;3,5;0,44;5,6;1,541;10;682,3;131;0,01;6,3;8,1;0,01541;1,52559
14-2-2019;3,4;0,44;5,7;1,717;10;760,4;146;0,23;6,5;8,2;0,39491;1,32209
15-2-2019;3,4;0,44;5,7;1,73;10;765,6;147;0,0308;6,2;8,1;0,053284;1,676716
16-2-2019;3,4;0,44;5,7;1,741;10;770,9;148;0,0252;6,4;8,1;0,0438732;1,6971268
17-2-2019;3,4;0,42;5,7;1,741;10;770,8;148;0,0132;6,4;8,2;0,0229812;1,7180188
18-2-2019;3,4;0,42;5,7;2,141;10;947,9;182;0,0123;6,2;8,2;0,0263343;2,1146657
19-2-2019;3,5;0,41;5,9;2,353;10;1041,7;200;0,0261;6,6;7,9;0,0614133;2,2915867
20-2-2019;3,5;0,41;5,9;2,283;10;1010,4;194;0,0286;6,1;8,2;0,0652938;2,2177062
21-2-2019;3,5;0,41;5,9;2,164;10;958,3;184;0,0583;6;8,1;0,1261612;2,0378388
22-2-2019;3,5;0,42;5,7;2,342;12;1036,5;199;0,0613;5,8;8,1;0,1435646;2,1984354
23-2-2019;3,5;0,42;5,8;2,329;13;1031,2;198;0,066;5,7;8;0,153714;2,175286
24-2-2019;3,5;0,43;5,9;2,718;15;1203,2;231;0,0513;5,6;8;0,1394334;2,5785666
25-2-2019;3,5;0,43;6;2,47;12;1093,7;210;0,056;5,4;7,9;0,13832;2,33168
26-2-2019;3,4;0,43;5,9;2,541;11;1125;216;0,0543;5,6;8,1;0,1379763;2,4030237
27-2-2019;3,2;0,43;5,9;2,565;12;1135,4;218;0,0602;5,5;7,9;0,154413;2,410587
28-2-2019;3,2;0,43;6,6;2,294;11;1015,7;195;0,0168;6,1;7,7;0,0385392;2,2554608
1-3-2019;3,7;0,41;5,2;2,718;9;1203,1;231;0;6,1;7,9;0;2,718
2-3-2019;3,2;0,42;5,7;2,776;7;1229,2;236;0,1022;5,1;8;0,2837072;2,4922928
3-3-2019;3,2;0,42;5,8;2,153;7;953,1;183;0,1187;5,1;7,9;0,2555611;1,8974389
4-3-2019;3,2;0,42;5,8;3,259;8;1442,7;277;0,116;4,9;7,9;0,378044;2,880956
5-3-2019;3,2;0,42;5,8;2,459;8;1088,5;209;0,83;4,5;7,6;2,04097;0,41803
6-3-2019;3,2;0,41;5,8;2,541;6;1125;216;0,63;4,6;7,3;1,60083;0,94017
7-3-2019;3,2;0,41;5,8;2,012;7;890,7;171;0,64;4,5;7,2;1,28768;0,72432
