Date;Ave_24h_ValveEC (water mS/cm);Ave_24h_ValveFlow (m3/h);Ave_24h_ValvepH;Sum_24h_Valve/m2(liters water per/m2);Sum_24h_ValveDeviation;Sum_24h_ValvePerUnit(total liters per day);Sum_24h_ValveUse;drain percentage %;EC;pH;drain water amount;absorb water amount
31-12-2018;3;0,39;5,4;0,235;1;208,3;40;;;;;
1-1-2019;3;0,38;5,6;0,353;-1;312,5;60;0;5,4;10,3;0;0,353
2-1-2019;3,3;0,44;5,5;0,7;8;619,8;119;0;5,4;10,3;0;0,7
3-1-2019;3,4;0,41;5,5;0,824;4;729,2;140;0;5,4;10,3;0;0,824
4-1-2019;3,4;0,41;5,5;1,37;6;1213,5;233;0;5,4;10,3;0;1,37
5-1-2019;3,4;0,4;5,4;1,194;5;1057,3;203;0,02;2,7;6,5;0,02388;1,17012
6-1-2019;3,6;0,42;5,5;1,024;6;906,3;174;0,04;2,7;6,4;0,04096;0,98304
7-1-2019;3,2;0,23;5,6;0,323;-34;286,4;55;0,06;2,6;6,5;0,01938;0,30362
8-1-2019;;;;0;;0;0;0;2,7;6,5;0;0
9-1-2019;;;;0;;0;0;0;2,5;6,4;0;0
10-1-2019;;;;0;;0;0;0;2,4;6,5;0;0
11-1-2019;;;;0;;0;0;0;2,7;6,6;0;0
12-1-2019;;;;0;;0;0;0;3;6,6;0;0
13-1-2019;;;;0;;0;0;0;2,6;6,7;0;0
14-1-2019;;;;0;;0;0;0;2,7;6,6;0;0
15-1-2019;;;;0;;0;0;0;3;6,5;0;0
16-1-2019;;;;0;;0;0;0;3,1;6,7;0;0
17-1-2019;;;;0;;0;0;0;3;6,7;0;0
18-1-2019;;;;0;;0;0;0;2,9;6,8;0;0
19-1-2019;;;;0;;0;0;0;2,9;6,8;0;0
20-1-2019;;;;0;;0;0;0;2,9;6,8;0;0
21-1-2019;;;;0;;0;0;0;2,9;6,8;0;0
22-1-2019;;;;0;;0;0;0;2,9;6,8;0;0
23-1-2019;;;;0;;0;0;0;2,9;6,8;0;0
24-1-2019;;;;0;;0;0;0;2,9;6,8;0;0
25-1-2019;3,8;0,43;5,8;0,17;-43;75,5;29;0;2,9;6,8;0;0,17
26-1-2019;3,5;0,42;5,8;0,341;-45;151;58;1,2087;2,9;6,8;0,4121667;-0,0711667
27-1-2019;3,3;0,42;5,7;0,177;8;156,3;30;0;2,9;6,8;0;0,177
28-1-2019;3,4;0,42;5,7;0,176;9;156,3;30;0;2,9;6,8;0;0,176
29-1-2019;3,5;0,42;5,7;0,177;8;156,2;30;0;2,9;6,8;0;0,177
30-1-2019;2,8;0,13;5,6;0,176;-61;156,3;30;0;2,9;6,8;0;0,176
31-1-2019;3,6;0,42;5,9;0,688;9;609,4;117;0;2,9;6,8;0;0,688
1-2-2019;3,5;0,42;5,9;0,854;8;604,1;116;0;2,9;6,8;0;0,854
2-2-2019;3,6;0,42;5,9;1,024;9;453,1;87;0;2,9;6,8;0;1,024
3-2-2019;3,5;0,42;5,8;1,388;9;614,6;118;0;2,9;6,8;0;1,388
4-2-2019;3,5;0,42;5,8;1,412;9;625;120;0,0029;5,1;7,5;0,0040948;1,4079052
5-2-2019;3,5;0,42;5,7;1,188;10;526,1;101;0,0037;4,8;7,6;0,0043956;1,1836044
6-2-2019;3,5;0,42;5,7;1,412;10;625;120;0,0022;4,9;7,5;0,0031064;1,4088936
7-2-2019;3,5;0,43;5,7;1,188;10;526;101;0,0125;4,5;7,6;0,01485;1,17315
8-2-2019;3,6;0,43;5,6;1,176;10;520,8;100;0,004;4,7;7,4;0,004704;1,171296
9-2-2019;3,6;0,43;5,6;1,341;11;593,8;114;0,021;4,5;7,6;0,028161;1,312839
10-2-2019;3,6;0,43;5,6;1,224;11;541,7;104;0,007;4,8;7,5;0,008568;1,215432
11-2-2019;3,6;0,43;5,6;1,329;11;588,5;113;0,0056;4,6;7,5;0,0074424;1,3215576
12-2-2019;3,6;0,43;5,6;1,636;10;724;139;0;5,2;7,4;0;1,636
13-2-2019;3,6;0,43;5,7;1,611;11;713,5;137;0,0013;4,7;7,4;0,0020943;1,6089057
14-2-2019;3,6;0,43;5,8;1,789;11;791,7;152;0,09;4,7;7,7;0,16101;1,62799
15-2-2019;3,6;0,43;5,8;1,811;11;802,1;154;0,0182;5;7,7;0,0329602;1,7780398
16-2-2019;3,6;0,43;5,8;1,824;11;807,2;155;0,0154;4,9;7,7;0,0280896;1,7959104
17-2-2019;3,6;0,43;5,8;1,847;11;817,8;157;0,0073;4,8;7,6;0,0134831;1,8335169
18-2-2019;3,6;0,43;5,8;2,235;11;989,5;190;0,0061;4,8;7,6;0,0136335;2,2213665
19-2-2019;3,6;0,43;6;2,459;10;1088,6;209;0,0107;4,8;7,6;0,0263113;2,4326887
20-2-2019;3,5;0,43;6;2,424;10;1072,9;206;0,0156;4,7;7,7;0,0378144;2,3861856
21-2-2019;3,5;0,43;5,9;2,906;11;1286,5;247;0,0307;4,5;7,6;0,0892142;2,8167858
22-2-2019;3,5;0,44;5,9;2,576;13;1140,6;219;0,0552;4,4;7,6;0,1421952;2,4338048
23-2-2019;3,5;0,44;6;2,588;13;1145,8;220;0,0557;4,1;7,4;0,1441516;2,4438484
24-2-2019;3,5;0,44;6;3,012;13;1333,3;256;0,0367;3,9;7,4;0,1105404;2,9014596
25-2-2019;3,5;0,43;6;2,718;11;1203,2;231;0,0392;3,8;7,4;0,1065456;2,6114544
26-2-2019;3,4;0,43;6;2,764;11;1223,9;235;0,0264;3,8;7,4;0,0729696;2,6910304
27-2-2019;3,2;0,43;6;2,812;11;1244,8;239;0,0322;4,1;7,4;0,0905464;2,7214536
28-2-2019;3,2;0,42;6,7;2,518;9;1114,6;214;0,028;4;7,5;0,070504;2,447496
1-3-2019;3,1;0,42;6,3;2,541;11;1125;216;0,032;3,8;7,6;0,081312;2,459688
2-3-2019;3,2;0,42;5,8;3,012;10;1333,3;256;0,049;3,9;7,6;0,147588;2,864412
3-3-2019;3,2;0,42;5,8;2,353;9;1041,7;200;0,0707;3,7;7,6;0,1663571;2,1866429
4-3-2019;3,2;0,42;5,8;3,588;10;1588,5;305;0,0747;3,5;7,5;0,2680236;3,3199764
5-3-2019;3,3;0,42;5,7;2,706;10;1198;230;0,5;3,6;7,5;1,353;1,353
6-3-2019;3,2;0,42;5,8;2,8;9;1239,5;238;0,36;3,8;7,1;1,008;1,792
7-3-2019;3,2;0,42;5,8;2,212;9;979,2;188;0,44;3,7;7;0,97328;1,23872
8-3-2019;3,2;0,42;5,8;3,282;9;1453,1;279;0,26;3,8;7,1;0,85332;2,42868
9-3-2019;3,3;0,42;5,9;3,235;9;1432,3;275;0,2;4;7,3;0,647;2,588
10-3-2019;3,2;0,42;5,8;2,894;10;1281,3;246;0,35;3,9;7,4;1,0129;1,8811
11-3-2019;3,2;0,42;5,8;3,106;10;1375;264;0,34;3,6;7,2;1,05604;2,04996
12-3-2019;3,2;0,42;5,8;3,012;9;1333,3;256;0,31;3,8;7,2;0,93372;2,07828
13-3-2019;3,2;0,42;5,8;2,953;10;1307,3;251;0,32;3,9;7,4;0,94496;2,00804
14-3-2019;3,3;0,43;5,7;3,094;11;1369,8;263;0,36;3,9;7,4;1,11384;1,98016
15-3-2019;3,2;0,42;5,8;3,294;10;1458,3;280;0,23;4,5;7,1;0,75762;2,53638
16-3-2019;3,2;0,42;5,8;2,553;10;1130,2;217;0,42;3,5;7,4;1,07226;1,48074
17-3-2019;3,2;0,42;5,8;3,341;10;1479,2;284;0,36;3,5;7,3;1,20276;2,13824
18-3-2019;3,3;0,43;5,8;3,33;11;1474;283;0,27;3,7;7,4;0,8991;2,4309
19-3-2019;3,2;0,43;5,7;3,364;11;1489,5;286;0,26;4;7,5;0,87464;2,48936
20-3-2019;3,2;0,43;5,7;3,365;12;1489,6;286;0,22;4,1;7,4;0,7403;2,6247
21-3-2019;3,2;0,43;5,7;3,377;12;1494,8;287;0,18;3,9;7,4;0,60786;2,76914
22-3-2019;3,2;0,43;5,7;3,364;12;1489,6;286;0,44;3,6;7,1;1,48016;1,88384
23-3-2019;3,2;0,43;5,7;3,118;12;1380,2;265;0,0597;3,5;7,1;0,1861446;2,9318554
24-3-2019;3,2;0,43;5,8;4,4;11;1947,9;374;0,26;3,4;7,3;1,144;3,256
25-3-2019;3,2;0,42;5,8;4,223;9;1869,8;359;0,24;3,5;7,2;1,01352;3,20948
26-3-2019;3,2;0,42;5,8;3,847;10;1703,1;327;0,27;3,8;7,2;1,03869;2,80831
27-3-2019;3,2;0,42;5,8;2,659;10;1177,1;226;0,26;3,9;7,4;0,69134;1,96766
28-3-2019;3,2;0,41;5,7;2,918;9;1291,7;248;0,19;4;7,4;0,55442;2,36358
29-3-2019;3,2;0,42;5,8;4,165;10;1843,7;354;0,12;3,8;7,4;0,4998;3,6652
30-3-2019;3,1;0,42;5,8;4,541;10;2010,5;386;0,0504;3,8;7,5;0,2288664;4,3121336
31-3-2019;3;0,42;5,8;4,517;10;2000;384;0,26;3,9;7,5;1,17442;3,34258
1-4-2019;3;0,42;5,8;4,777;11;2114,5;406;0,21;4,1;7,7;1,00317;3,77383
2-4-2019;3;0,42;5,8;3,706;10;1640,7;315;0,25;4;7,5;0,9265;2,7795
3-4-2019;3;0,42;5,8;5,6;11;2479,1;476;0,27;4;7,5;1,512;4,088
4-4-2019;3;0,41;5,8;3,965;11;1755,2;337;0,47;3,7;7,5;1,86355;2,10145
5-4-2019;3;0,41;5,8;4,717;11;2088,6;401;0,26;3,5;7,4;1,22642;3,49058
6-4-2019;3;0,41;5,7;3,647;11;1614,6;310;0,28;3,5;7,6;1,02116;2,62584
7-4-2019;3;0,42;5,8;5,047;13;2234,3;429;0,28;3,7;7,6;1,41316;3,63384
8-4-2019;3;0,44;5,7;4,377;12;1937,5;372;0,27;3,8;7,5;1,18179;3,19521
9-4-2019;3,1;0,43;5,8;4,87;12;2156,3;414;0,25;3,8;7,6;1,2175;3,6525
10-4-2019;3,5;0,43;5,8;5,283;11;2338,5;449;0,23;4;7,5;1,21509;4,06791
11-4-2019;3,3;0,43;5,8;4,011;11;1776,1;341;0,23;4,4;7,5;0,92253;3,08847
12-4-2019;3;0,44;5,8;4,13;12;1828,1;351;0,13;4,5;7,5;0,5369;3,5931
13-4-2019;3,2;0,43;5,8;4,6;10;2036,5;391;0,18;4,9;7,6;0,828;3,772
14-4-2019;3,4;0,42;5,8;4,729;10;2093,7;402;0,27;4,6;7,5;1,27683;3,45217
15-4-2019;3,6;0,42;5,8;4,93;12;2.182,30;419;0,27;4,5;7,5;1,3311;3,5989
16-4-2019;3,8;0,42;5,8;5,423;10;2.401;461;0,28;4,4;7,5;1,51844;3,90456
17-4-2019;3,8;0,41;5,8;3,788;9;1.677,10;322;0,28;5;7,6;1,06064;2,72736
18-4-2019;3,8;0,42;5,8;5,589;10;2.474;475;0,34;4,9;7,4;1,90026;3,68874
19-4-2019;3,7;0,42;5,8;5,694;11;2.520,80;484;0,3;5,4;7,6;1,7082;3,9858
20-4-2019;3,7;0,42;5,8;6,094;11;2.697,90;518;0,27;5,9;7,4;1,64538;4,44862
21-4-2019;3,7;0,42;5,8;6,012;12;2.661,50;511;0,28;6;7,2;1,68336;4,32864
22-4-2019;3,1;0,42;5,8;5,07;12;2244,8;431;0,27;6,4;7,1;1,3689;3,7011
23-4-2019;3;0,42;5,8;5,271;12;2333,3;448;0,21;6,4;7;1,10691;4,16409
24-4-2019;3,7;0,42;5,8;4,565;12;2020,9;388;0,21;6,7;7,1;0,95865;3,60635
25-4-2019;3,5;0,41;5,8;4,223;13;1869,7;359;0,17;6,7;7,1;0,71791;3,50509
26-4-2019;3;0,43;5,9;4,906;13;2171,9;417;0,38;6,2;7,2;1,86428;3,04172
27-4-2019;3;0,44;5,8;4,4;13;1947,9;374;0,26;6,3;7;1,144;3,256
28-4-2019;3;0,44;5,7;3,988;13;1765,7;339;0,26;6,1;7;1,03688;2,95112
29-4-2019;3;0,44;5,7;5,200 ;13;2302;442;0,3;6,1;7,1;1,56;3,64
30-4-2019;3;0,44;5,7;3,153 ;11;1395,9;268;0,26;5,7;6,9;0,81978;2,33322
1-5-2019;3;0,41;5,7;3,494 ;9;1546,9;297;0,28;5,6;6,9;0,97832;2,51568
2-5-2019;3,2;0,3;5,6;4,058 ;-21;1796,8;345;0,32;5,4;7;1,29856;2,75944
3-5-2019;3;0,42;5,8;3,271 ;11;1447,9;278;0,38;4,7;6,9;1,24298;2,02802
4-5-2019;2,9;0,42;5,8;5,153 ;11;2281,2;438;0,24;5,1;7,1;1,23672;3,91628
5-5-2019;3;0,43;5,6;5,612 ;12;2484,4;477;0,26;5;7;1,45912;4,15288
6-5-2019;2,9;0,42;5,7;3,788 ;11;1677,1;322;0,25;5,1;6,9;0,947;2,841
7-5-2019;3;0,42;5,7;4,305 ;11;1906,2;366;0,24;4,9;7;1,0332;3,2718
8-5-2019;3,4;0,41;5,8;3,600 ;10;1593,7;306;0,14;5;7,1;0,504;3,096
