datum;ger1;ger2;stralingssom;straling;gem_kastemp;gem_RV;ber_verw_t;ber_vent_t_l;ber_buis;gem_buis;gem_doek_1;gem_doek_2;gem_doek_3;ber_RV;gem_CO2_conc;gem_luw;gem_wind;gem_VD;straling_2;gem_buis_2;ber_buis;gem_kastemp;gem_RV;ger_toestand;ger_toestand;stralingssom_2;straling_3;gem_plant_2;gem_plant_3
1-1-2019 00:00;0;0;236;0;17;79;17;17;26;25,17;100;0;0;0;446,67;1;0;3;0;25,17;26;17;79;0;0;236;0;;23,2
1-1-2019 00:05;0;0;236;0;16,92;79;17;17,08;26;25,83;100;0;0;0;443,67;2,67;0;3;0;25,83;26;16,92;79;0;0;236;0;;23,2
1-1-2019 00:10;0;0;236;0;16,9;79,83;17;17,18;26,83;26;100;0;0;0;440,5;3;0;2,92;0;26;26,83;16,9;79,83;0;0;236;0;;23,2
1-1-2019 00:15;0;0;236;0;16,82;80;17;17,28;27;26;100;0;0;0;440;3;0;2,9;0;26;27;16,82;80;0;0;236;0;;23,2
1-1-2019 00:20;0;0;236;0;16,88;79,17;17;17,3;27;26,83;100;0;0;0;440,83;3;0;2,98;0;26,83;27;16,88;79,17;0;0;236;0;;23,2
1-1-2019 00:25;0;0;236;0;16,9;79;17;17,38;27;27;100;0;0;0;441;3;0;3;0;27;27;16,9;79;0;0;236;0;;23,2
1-1-2019 00:30;0;0;236;0;16,9;79;17;17,48;27;27;100;0;0;0;438,5;3;0;3;0;27;27;16,9;79;0;0;236;0;;23,2
1-1-2019 00:35;0;0;236;0;16,9;79;17;17,58;27;27,83;100;0;0;0;435,5;3;0;3;0;27,83;27;16,9;79;0;0;236;0;;23,2
1-1-2019 00:40;0;0;236;0;16,9;79;17;17,68;27;28;100;0;0;0;435;3;0;3;0;28;27;16,9;79;0;0;236;0;;23,2
1-1-2019 00:45;0;0;236;0;16,9;79;17;17,78;27;27,17;100;0;0;0;434,17;3;0;3;0;27,17;27;16,9;79;0;0;236;0;;23,2
1-1-2019 00:50;0;0;236;0;16,98;78,17;17;17,8;27;27;100;0;0;0;434;3;0;3,17;0;27;27;16,98;78,17;0;0;236;0;;23,2
1-1-2019 00:55;0;0;236;0;16,92;78,83;17;17,88;27;27;100;0;0;0;434;3;0;3,12;0;27;27;16,92;78,83;0;0;236;0;;23,2
1-1-2019 01:00;0;0;236;0;16,9;79;17;17,98;27;27;100;0;0;0;429;3;0;3,1;0;27;27;16,9;79;0;0;236;0;;23,2
1-1-2019 01:05;0;0;236;0;16,9;79;17;18;27;27;100;0;0;0;428;3;0;3,1;0;27;27;16,9;79;0;0;236;0;;23,2
1-1-2019 01:10;0;0;236;0;16,98;79;17;18;27;27;100;0;0;0;432,17;3;0;3,1;0;27;27;16,98;79;0;0;236;0;;23,2
1-1-2019 01:15;0;0;236;0;17;79;17;18;26,17;27;100;0;0;0;431,33;3;0;3,1;0;27;26,17;17;79;0;0;236;0;;23,2
1-1-2019 01:20;0;0;236;0;16,92;79;17;18;26,83;27;100;0;0;0;431;3;0;3,1;0;27;26,83;16,92;79;0;0;236;0;;23,2
1-1-2019 01:25;0;0;236;0;16,9;79;17;18;27;27;100;0;0;0;431;3;0;3,02;0;27;27;16,9;79;0;0;236;0;;23,2
1-1-2019 01:30;0;0;236;0;16,9;79;17;18;27;27;100;0;0;0;431;3;0;3,08;0;27;27;16,9;79;0;0;236;0;;23,2
1-1-2019 01:35;0;0;236;0;16,9;79;17;18;27;27;100;0;0;0;431,83;3;0;3,02;0;27;27;16,9;79;0;0;236;0;;23,2
1-1-2019 01:40;0;0;236;0;16,9;79;17;18;27;27;100;0;0;0;427;3;0;3;0;27;27;16,9;79;0;0;236;0;;23,2
1-1-2019 01:45;0;0;236;0;16,98;79;17;18;27;27;100;0;0;0;428,5;3;0;3,08;0;27;27;16,98;79;0;0;236;0;;23,2
1-1-2019 01:50;0;0;236;0;16,92;79;17;18;27;27;100;0;0;0;429,83;3;0;3,02;0;27;27;16,92;79;0;0;236;0;;23,2
1-1-2019 01:55;0;0;236;0;16,9;79;17;18;27;27;100;0;0;0;430;3;0;3;0;27;27;16,9;79;0;0;236;0;;23,2
1-1-2019 02:00;0;0;236;0;16,9;79;17;18;27;27;100;0;0;0;430,83;3;0;3;0;27;27;16,9;79;0;0;236;0;;23,2
1-1-2019 02:05;0;0;236;0;16,82;79;17;18;27;26,17;100;0;0;0;430,17;3;0;3;0;26,17;27;16,82;79;0;0;236;0;;23,2
1-1-2019 02:10;0;0;236;0;16,88;79;17;18;27;26,83;100;0;0;0;427,5;3;0;3;0;26,83;27;16,88;79;0;0;236;0;;23,2
1-1-2019 02:15;0;0;236;0;16,82;79;17;18;27,83;27;100;0;0;0;430,33;3;0;3;0;27;27,83;16,82;79;0;0;236;0;;23,2
1-1-2019 02:20;0;0;236;0;16,88;79;17;18;28;27,83;100;0;0;0;431;3;0;3;0;27,83;28;16,88;79;0;0;236;0;;23,2
1-1-2019 02:25;0;0;236;0;16,9;79;17;18;28;28;100;0;0;0;428,5;3;0;3,08;0;28;28;16,9;79;0;0;236;0;;23,2
1-1-2019 02:30;0;0;236;0;16,98;78,17;17;18;28;28;100;0;0;0;430,5;3;0;3,1;0;28;28;16,98;78,17;0;0;236;0;;23,2
1-1-2019 02:35;0;0;236;0;16,92;78,83;17;18;28;28;100;0;0;0;430,17;3;0;3,1;0;28;28;16,92;78,83;0;0;236;0;;23,2
1-1-2019 02:40;0;0;236;0;16,9;79;17;18;28;28,83;100;0;0;0;426,67;3;0;3,1;0;28,83;28;16,9;79;0;0;236;0;;23,2
1-1-2019 02:45;0;0;236;0;16,98;79;17;18;27,17;28,17;100;0;0;0;426;3;0;3,1;0;28,17;27,17;16,98;79;0;0;236;0;;23,2
1-1-2019 02:50;0;0;236;0;17;78,17;17;18;27,83;28;100;0;0;0;427,67;3;0;3,1;0;28;27,83;17;78,17;0;0;236;0;;23,2
1-1-2019 02:55;0;0;236;0;17;78;17;18;27,17;27,17;100;0;0;0;429,67;3;0;3,1;0;27,17;27,17;17;78;0;0;236;0;;23,2
1-1-2019 03:00;0;0;236;0;17,08;78;19,5;18;46,17;27;100;0;0;0;429,17;3;0;3,18;0;27;46,17;17,08;78;0;0;236;0;;23,2
1-1-2019 03:05;0;0;236;0;16,93;78,83;20;18;50;46,17;100;0;0;0;428,17;3;0;3,03;0;46,17;50;16,93;78,83;0;0;236;0;;23,2
1-1-2019 03:10;0;0;236;0;17,23;77,33;20;18;50;50;100;0;0;0;428;3;0;3,33;0;50;50;17,23;77,33;0;0;236;0;;23,2
1-1-2019 03:15;0;0;236;0;17,72;75,33;20;18;49,17;50,83;100;0;0;0;429,67;3;0;3,73;0;50,83;49,17;17,72;75,33;0;0;236;0;;23,2
1-1-2019 03:20;0;0;236;0;18,22;73,33;20;18;49;51;100;0;0;0;429,17;3;0;4,22;0;51;49;18,22;73,33;0;0;236;0;;23,2
1-1-2019 03:25;0;0;236;0;18,72;71,33;20;18;48,17;49,33;100;0;0;0;427,33;5,5;0;4,55;0;49,33;48,17;18,72;71,33;0;0;236;0;;23,2
1-1-2019 03:30;0;0;236;0;19,05;70,16;20;18;47,16;48,16;100;0;0;0;427;9,36;0;4,85;0;48,16;47,16;19,05;70,16;0;0;236;0;;23,2
