row_number,plant_number,date,truss_number,brix,diameter,fruit_number,weight,total_sap,total_sap_mean,week_before_sap,week_before_sap_mean,week_after_sap,week_after_sap_mean
14,400,2019-03-20 00:00:00,2,,,14.0,288.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
15,401,2019-03-20 00:00:00,1,,36.0,12.0,238.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
15,401,2019-03-20 00:00:00,2,,,14.0,242.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
16,402,2019-03-20 00:00:00,1,8.6,34.0,13.0,227.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
16,402,2019-03-20 00:00:00,2,,,14.0,242.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
17,403,2019-03-20 00:00:00,1,,,12.0,220.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
17,403,2019-03-20 00:00:00,2,,,14.0,240.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
18,404,2019-03-20 00:00:00,1,9.1,35.0,13.0,232.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
18,404,2019-03-20 00:00:00,2,,,14.0,255.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
19,405,2019-03-20 00:00:00,1,,,13.0,247.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
19,405,2019-03-20 00:00:00,2,,,14.0,268.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
20,406,2019-03-20 00:00:00,1,,,13.0,238.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
20,406,2019-03-20 00:00:00,2,,,6.0,118.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
